company_name,url,description,sector_tags,stage,tech_keywords,employee_est,hiring_status,founded_year,company_url
Ignota Labs,https://www.ignotalabs.com,Ignota Labs is a drug discovery biotech company using advanced computational chemistry and AI to identify novel therapeutic candidates. The platform accelerates the identification of drug compounds.,"[""AI/ML"", ""drug discovery"", ""biotech""]",startup,"drug discovery, AI, computational chemistry, biotech, molecular design",11-50,possibly_hiring,2019.0,
Jagex,https://www.jagex.com,Jagex is a video game developer and publisher best known for creating and operating the massively multiplayer online role-playing game RuneScape. The company has a significant Cambridge development team.,"[""software""]",established,"game development, MMO, gaming, online games, graphics",200-1000,possibly_hiring,1999.0,
Johnson Matthey,https://www.matthey.com,"Johnson Matthey is a specialty chemicals and advanced materials company operating globally with significant Cambridge operations. They develop catalysts, fine chemicals, and sustainable technologies.","[""cleantech"", ""hardware"", ""research""]",established,"specialty chemicals, catalysts, fine chemicals, materials science, sustainability",1000+,possibly_hiring,1817.0,
Linguamatics,http://www.linguamatics.com,Linguamatics develops natural language processing and text analytics solutions for pharmaceutical and healthcare applications. Their AI engine extracts insights from unstructured medical documents.,"[""AI/ML"", ""NLP"", ""data analytics""]",scaleup,"natural language processing, text analytics, AI, information extraction",51-200,possibly_hiring,2000.0,
Lucideon,http://www.lucideon.com,"Lucideon is a materials science research and technical consultancy firm providing testing, analysis, and consulting services. The company supports materials development across industries.","[""research"", ""consulting""]",established,"materials science, research, testing, consultancy, materials analysis",51-200,no_info,1947.0,
Mantle Space Ltd,https://www.mantlespace.co.uk,Mantle Space develops innovative space technology and software solutions for satellite operations and space applications. The startup focuses on next-generation space mission capabilities.,"[""space"", ""software"", ""hardware""]",startup,"space technology, satellite operations, aerospace, software",11-50,possibly_hiring,2018.0,
Mathworks,https://www.mathworks.com,"Mathworks develops MATLAB and Simulink, industry-leading software platforms for numerical computing, simulation, and modeling. The company has a major R&D and support center in Cambridge.","[""SaaS"", ""developer tools"", ""software""]",established,"MATLAB, Simulink, numerical computing, simulation, scientific software",200-1000,actively_hiring,1984.0,
MicrosensDx,http://www.microsensdx.com,MicrosensDx develops rapid diagnostic systems using biosensor and microfluidics technologies. Their point-of-care diagnostic platform enables fast disease detection and patient testing.,"[""diagnostics"", ""medtech"", ""healthtech""]",scaleup,"diagnostics, biosensors, microfluidics, point-of-care testing, medical devices",11-50,possibly_hiring,2010.0,
Microsoft Cambridge,https://www.microsoft.com/en-gb/cambridge/,"Microsoft's Cambridge operations include research facilities and development teams conducting cutting-edge research in AI, computer vision, and software technologies. A major tech employer in the region.","[""AI/ML"", ""software"", ""computer vision""]",established,"artificial intelligence, machine learning, research, software development",200-1000,actively_hiring,1997.0,
Mogrify,https://www.mogrify.co.uk,Mogrify is a biotech company developing cellular reprogramming technology for regenerative medicine and therapeutics. Their platform converts cells without genetic modification for medical applications.,"[""biotech"", ""drug discovery"", ""healthtech""]",scaleup,"cellular reprogramming, regenerative medicine, biotech, cell therapy",51-200,possibly_hiring,2013.0,
Mulberry Risk,https://www.mulberryrisk.com,Mulberry Risk provides risk management and financial technology solutions for institutional investors and fund managers. Their platform addresses investment risk assessment and portfolio optimization.,"[""fintech"", ""data analytics""]",startup,"risk management, fintech, portfolio optimization, financial analytics",11-50,possibly_hiring,2014.0,
Mundipharma International Ltd,https://www.mundipharma.com,"Mundipharma is a pharmaceutical company with global operations and significant R&D presence in Cambridge. They develop pain management, oncology, and specialty pharmaceutical products.","[""pharma"", ""drug discovery""]",established,"pharmaceuticals, drug development, pain management, oncology",1000+,possibly_hiring,1821.0,
Mundipharma IT Services Ltd,https://www.mundipharma.com/en/innovation/mundipharma-it-services/,Mundipharma IT Services provides technology and digital transformation solutions supporting the parent pharmaceutical company's operations and innovation initiatives.,"[""software"", ""consulting""]",established,"IT services, digital transformation, enterprise software",51-200,possibly_hiring,2015.0,
Autonomy Corporation plc,https://www.autonomy.com,Autonomy develops AI and pattern recognition technologies for enterprise data analytics and information management. The company specializes in intelligent data analysis and business intelligence.,"[""AI/ML"", ""data analytics"", ""software""]",established,"AI, pattern recognition, data analytics, business intelligence, machine learning",200-1000,possibly_hiring,1996.0,
Zeus Technology Ltd,https://www.zeustechnology.com,"Zeus Technology develops web infrastructure, caching, and load balancing solutions for high-traffic internet applications. Their products optimize performance and reliability for web services.","[""software"", ""developer tools""]",established,"web infrastructure, caching, load balancing, CDN, web optimization",51-200,no_info,1993.0,
Owlstone Ltd,https://www.owlstone.co.uk,"Owlstone develops chemical and biological detection technologies using advanced sensing systems. Their platforms are used for security, environmental monitoring, and scientific applications.","[""hardware"", ""sensors"", ""defence""]",scaleup,"chemical detection, biosensors, sensor technology, threat detection",51-200,possibly_hiring,2004.0,
Collabora Ltd,https://www.collabora.com,"Collabora provides open source software consulting, development, and integration services for enterprises. The company specializes in Linux, graphics, and embedded systems.","[""software"", ""developer tools"", ""consulting""]",established,"open source, Linux, embedded systems, graphics, software development",51-200,possibly_hiring,2005.0,
Trustonic Ltd,https://www.trustonic.com,Trustonic develops mobile security and trust platforms protecting smartphones and connected devices. Their technology provides secure execution environments and threat protection.,"[""cybersecurity"", ""software"", ""hardware""]",scaleup,"mobile security, cybersecurity, secure boot, trust execution, threat protection",51-200,possibly_hiring,2012.0,
Breathing Buildings Ltd,https://www.breathingbuildings.com,"Breathing Buildings develops smart building management systems that use machine learning to optimize ventilation, energy efficiency, and indoor air quality in commercial real estate.","[""SaaS"", ""AI/ML""]",scaleup,"machine learning, building management, IoT, energy optimization",51-200,possibly_hiring,2008.0,
Scientia Ltd,https://www.scientia.com,"Scientia provides university and academic research management software, offering institutional platforms for staff administration, student management, and research operations.","[""SaaS"", ""edtech""]",scaleup,"enterprise software, university systems, data management",200-1000,possibly_hiring,2006.0,
Datanomic Ltd,https://www.datanomic.com,"Datanomic develops data quality and data governance solutions for enterprises, helping organizations manage, validate, and optimize their data assets.","[""SaaS"", ""data analytics""]",startup,"data quality, governance, analytics, machine learning",11-50,possibly_hiring,2014.0,
HutanBio Ltd,https://www.hutanbio.com,HutanBio is a synthetic biology company focused on developing sustainable alternatives to plastics and chemicals using engineered organisms.,"[""biotech"", ""cleantech""]",startup,"synthetic biology, biomanufacturing, sustainable materials",11-50,possibly_hiring,2018.0,
Applied Ecology,https://www.appliedecology.com,Applied Ecology provides environmental consulting and ecological survey services for development projects and environmental impact assessments.,"[""consulting"", ""cleantech""]",established,"environmental analysis, ecology, sustainability",51-200,no_info,2000.0,
Witine Limited,https://www.witine.com,Witine is a biotechnology company developing specialized diagnostic and analytical solutions for life sciences research and clinical applications.,"[""biotech"", ""diagnostics""]",startup,"biotechnology, diagnostics, analytical instruments",11-50,possibly_hiring,2015.0,
Lidya Tech,https://www.lidyatech.com,"Lidya provides fintech solutions and working capital management platforms for small and medium enterprises, offering automated payroll and cash flow services.","[""fintech"", ""SaaS""]",scaleup,"fintech, payroll, cash flow management, automation",51-200,actively_hiring,2015.0,
Legalesign,https://www.legalesign.com,Legalesign offers digital signature and document management software designed specifically for legal and financial services firms.,"[""SaaS"", ""fintech""]",startup,"digital signatures, document management, legal tech",11-50,possibly_hiring,2016.0,
RF Creations Ltd,https://www.rfcreations.com,RF Creations develops RF (radiofrequency) technology and wireless engineering solutions for industrial and consumer electronics applications.,"[""hardware"", ""IoT""]",startup,"radiofrequency, wireless, embedded systems, hardware design",11-50,possibly_hiring,2012.0,
NetworkMods,https://www.networkmods.com,NetworkMods provides network optimization and software-defined networking solutions for telecommunications and data center operators.,"[""SaaS"", ""developer tools""]",startup,"SDN, network optimization, telecommunications",11-50,possibly_hiring,2014.0,
Redbite Solutions,https://www.redbitesolutions.com,Redbite Solutions offers cybersecurity services and threat intelligence platforms for enterprise organizations seeking to protect against cyber threats.,"[""cybersecurity"", ""SaaS""]",scaleup,"cybersecurity, threat intelligence, security operations",51-200,possibly_hiring,2011.0,
School Software Company,https://www.schoolsoftwarecompany.com,School Software Company develops management and administrative software platforms for educational institutions and school districts.,"[""edtech"", ""SaaS""]",scaleup,"education management, school administration, student systems",51-200,possibly_hiring,2009.0,
ProductLife Group,https://www.productlife.com,ProductLife Group specializes in regulatory affairs and product development consulting for pharmaceutical and medical device manufacturers.,"[""pharma"", ""medtech"", ""consulting""]",scaleup,"regulatory affairs, product development, compliance",51-200,possibly_hiring,2006.0,
Tissue & Cell Technologies Ltd,https://www.tissueandcelltech.com,"Tissue & Cell Technologies develops regenerative medicine and tissue engineering solutions, creating bioengineered tissues for research and therapeutic applications.","[""biotech"", ""medtech""]",startup,"tissue engineering, regenerative medicine, biotechnology",11-50,possibly_hiring,2014.0,
OriBiotech Ltd,https://www.oribiotech.com,OriBiotech is a cell and gene therapy company developing manufacturing and automation solutions for biopharmaceutical production.,"[""biotech"", ""pharma""]",scaleup,"cell therapy, biomanufacturing, automation, biotech",51-200,actively_hiring,2015.0,
Igennus Healthcare Nutrition,https://www.igennus.com,Igennus develops specialty nutrition products and supplements with scientific evidence for specific health conditions and wellness applications.,"[""healthtech""]",scaleup,"nutrition science, supplements, healthcare, research",51-200,possibly_hiring,2007.0,
Cambridge Healthcare Research,https://www.cambridgehealthcareresearch.com,Cambridge Healthcare Research conducts clinical trials and healthcare research studies for pharmaceutical companies and medical device manufacturers.,"[""pharma"", ""research""]",scaleup,"clinical trials, research, healthcare analytics",51-200,possibly_hiring,2010.0,
Chemical Computing Group,https://www.chemcomp.com,Chemical Computing Group provides molecular modeling and cheminformatics software for drug discovery and chemical research organizations worldwide.,"[""drug discovery"", ""software""]",established,"molecular modeling, cheminformatics, drug discovery, software",51-200,possibly_hiring,1997.0,
BlueScientific Ltd,https://www.bluescientific.com,BlueScientific distributes and supports scientific instruments and laboratory equipment for research institutions and industrial laboratories.,"[""research"", ""hardware""]",scaleup,"scientific instruments, laboratory equipment, distribution",51-200,possibly_hiring,2008.0,
Better Stronger Ltd,https://www.betterstronger.com,"Better Stronger develops health and fitness technology, offering mobile and web applications for personal training and wellness coaching.","[""healthtech"", ""SaaS""]",startup,"fitness technology, health apps, coaching, mobile",11-50,possibly_hiring,2016.0,
VCLS,https://www.vcls.com,VCLS (Virtual Contract Law Services) provides contract lifecycle management software and legal automation solutions for enterprises.,"[""SaaS"", ""fintech""]",scaleup,"contract management, legal tech, automation, AI/ML",51-200,actively_hiring,2014.0,
Crayfish.io Ltd,https://www.crayfish.io,"Crayfish.io develops cloud-native software solutions and DevOps tooling for enterprises, focusing on infrastructure automation and container orchestration.","[""SaaS"", ""developer tools""]",startup,"DevOps, cloud infrastructure, containers, automation",11-50,possibly_hiring,2017.0,
Arthur D. Little Limited,https://www.adl.com,"Arthur D. Little is a global management consulting firm specializing in technology, business strategy, and innovation for industrial and digital sectors.","[""consulting""]",established,"consulting, strategy, innovation, transformation",1000+,actively_hiring,1886.0,
British Standards Institute,https://www.bsigroup.com,The British Standards Institute is a standards development organization that creates standards and provides conformity assessment and certification services.,"[""consulting"", ""research""]",established,"standards, certification, compliance, quality assurance",1000+,possibly_hiring,1901.0,
F.Institute,https://www.f.institute,"F.Institute is a research and educational organization focused on future technologies, including AI, quantum computing, and emerging technology innovation.","[""research"", ""edtech""]",scaleup,"AI, quantum computing, emerging technologies, research",51-200,possibly_hiring,2018.0,
Clearly Education Ltd,https://www.clearlyeducation.com,Clearly Education provides online learning platforms and educational content for distance learning and professional development programs.,"[""edtech"", ""SaaS""]",scaleup,"online learning, educational technology, e-learning",51-200,possibly_hiring,2011.0,
CB3 Consulting Ltd,https://www.cb3consulting.com,"CB3 Consulting offers business and technology consulting services, specializing in strategy, digital transformation, and enterprise software implementation.","[""consulting"", ""SaaS""]",scaleup,"consulting, enterprise software, digital transformation",51-200,possibly_hiring,2008.0,
Markham Insignis Cash Solutions,https://www.markhaminsignis.com,Markham Insignis provides cash management and financial services solutions for retail businesses and financial institutions.,"[""fintech""]",scaleup,"cash management, payments, fintech",51-200,possibly_hiring,2005.0,
Qi3,https://www.qi3.co.uk,Qi3 develops quantum-inspired computing solutions and optimization algorithms for complex computational problems in business and scientific applications.,"[""quantum computing"", ""software""]",startup,"quantum computing, optimization, algorithms",11-50,possibly_hiring,2018.0,
Kaplan Financial Ltd,https://www.kaplan.co.uk,"Kaplan Financial provides professional education and training for financial professionals, including accounting, compliance, and financial planning certifications.","[""edtech""]",established,"financial education, training, certifications",200-1000,possibly_hiring,1996.0,
First Ascent Group,https://www.firstascentgroup.com,"First Ascent Group specializes in recruitment and staffing services for IT, engineering, and technology sectors across the UK and Europe.","[""consulting""]",scaleup,"recruitment, staffing, IT services",51-200,actively_hiring,2006.0,
DMFL Support Robotics,https://www.dmflsupportrobotics.com,"DMFL Support Robotics develops robotic systems and automation solutions for manufacturing, logistics, and research laboratory applications.","[""robotics"", ""hardware""]",scaleup,"robotics, automation, manufacturing, hardware",51-200,possibly_hiring,2010.0,
Robotae,https://www.robotae.com,Robotae creates autonomous robotics platforms and AI-powered robotic systems for industrial automation and service applications.,"[""robotics"", ""AI/ML""]",startup,"robotics, AI, autonomous systems, machine learning",11-50,possibly_hiring,2016.0,
Fen Research Ltd,https://www.fenresearch.com,"Fen Research conducts clinical and medical research studies, offering contract research services for pharmaceutical companies and biotech organizations.","[""pharma"", ""research""]",scaleup,"clinical research, medical studies, CRO, biotech",51-200,possibly_hiring,2003.0,
Cambridge Advanced Materials Ltd,https://www.cambridgeadvancedmaterials.com,"Cambridge Advanced Materials develops and supplies advanced composite materials and engineering solutions for aerospace, automotive, and industrial applications.","[""hardware"", ""semiconductors""]",scaleup,"advanced materials, composites, engineering, manufacturing",51-200,possibly_hiring,2007.0,
Cydar Medical,https://www.cydar.com,Cydar Medical develops surgical guidance and image-guided intervention software for interventional radiology and cardiology applications.,"[""medtech"", ""software""]",scaleup,"medical imaging, surgical guidance, intervention software",51-200,possibly_hiring,2013.0,
Aavora Ltd,https://www.aavora.com,"Aavora provides cloud infrastructure and edge computing solutions for enterprises, specializing in distributed processing and data management.","[""SaaS"", ""developer tools""]",startup,"cloud computing, edge computing, infrastructure, data",11-50,possibly_hiring,2017.0,
ACX Instruments Ltd,https://www.acxinstruments.com,ACX Instruments manufactures and supplies analytical and measuring instruments for laboratory and industrial testing applications.,"[""hardware"", ""research""]",established,"analytical instruments, laboratory equipment, testing",51-200,possibly_hiring,2000.0,
Bensasson & Chalmers Ltd,https://www.bensassonchalmers.com,"Bensasson & Chalmers provides intellectual property and patent services, specializing in technology law and innovation consulting.","[""consulting""]",scaleup,"intellectual property, patents, legal services, innovation",51-200,possibly_hiring,1995.0,
Ellexus,https://www.ellexus.com,"Ellexus develops software performance monitoring and optimization tools for HPC, AI, and data-intensive applications.","[""developer tools"", ""software""]",scaleup,"performance monitoring, HPC, AI, software optimization",51-200,possibly_hiring,2014.0,
Commsonic Ltd,https://www.commsonic.com,Commsonic develops telecommunications and network communication solutions for carrier-grade applications and infrastructure.,"[""SaaS"", ""developer tools""]",scaleup,"telecommunications, networking, communications infrastructure",51-200,possibly_hiring,2008.0,
Supersense,https://www.supersense.com,Audio technology and spatial sound company. Limited public information available.,"[""software""]",unknown,"audio, sound, spatial",unknown,no_info,,
Quantios,https://www.quantios.com,Quantum technology company based in Cambridge. Limited public information available.,"[""quantum computing""]",unknown,"quantum, computing",unknown,no_info,,
Waymap,https://www.waymap.com,Accessibility mapping platform providing detailed walkability and accessibility data for urban navigation. Uses AI and crowd-sourced data to create comprehensive accessibility maps for people with disabilities.,"[""AI/ML"", ""accessibility""]",scaleup,"accessibility, mapping, AI, navigation",51-200,actively_hiring,2018.0,
Infersens Ltd,https://www.infersens.com,AI and machine learning company. Limited detailed information available.,"[""AI/ML""]",unknown,"AI, machine learning",unknown,no_info,,
All Focal,https://www.allfocal.com,Technology company with limited publicly available information.,"[""software""]",unknown,unknown,unknown,no_info,,
Cinema8,https://www.cinema8.com,Interactive video content platform. Limited public information available.,"[""software""]",unknown,"video, interactive, content",unknown,no_info,,
iot747,https://www.iot747.com,IoT solutions provider. Limited public information available.,"[""IoT""]",unknown,"IoT, connected devices",unknown,no_info,,
Forefront,https://www.forefront.com,Technology company with limited publicly available information.,"[""software""]",unknown,unknown,unknown,no_info,,
Phantom Technology Ltd,https://www.phantomtechnology.com,Technology firm. Limited public information available.,"[""hardware""]",unknown,unknown,unknown,no_info,,
Cambridge Kinetics,https://www.cambridgekinetics.com,Biomechanics and motion analysis company. Limited public information available.,"[""healthtech""]",unknown,"biomechanics, motion, analysis",unknown,no_info,,
Pilot Creative Ltd,https://www.pilotcreative.com,Creative agency and software company. Limited public information available.,"[""software""]",unknown,"creative, design",unknown,no_info,,
HDR Nova,https://www.hdrnova.com,Imaging technology company focused on HDR solutions. Limited public information available.,"[""hardware""]",unknown,"imaging, HDR, video",unknown,no_info,,
Tebira Ltd,https://www.tebira.com,Technology company. Limited public information available.,"[""software""]",unknown,unknown,unknown,no_info,,
Virtual Arts,https://www.virtualarts.com,Virtual reality and immersive technology company. Limited public information available.,"[""software""]",unknown,"VR, virtual reality, immersive",unknown,no_info,,
LispWorks,https://www.lispworks.com,Commercial Lisp and software development tools provider. Specializes in creating advanced development environments for building sophisticated applications.,"[""developer tools""]",established,"Lisp, development tools, programming",11-50,possibly_hiring,1992.0,
Green Custard Ltd,https://www.greencustard.com,Environmental or sustainability-focused company. Limited public information available.,"[""cleantech""]",unknown,"sustainability, environment",unknown,no_info,,
Archipelago Technology,https://www.archipelagotechnology.com,Technology solutions company. Limited public information available.,"[""software""]",unknown,unknown,unknown,no_info,,
VNC Automotive Ltd,https://www.vncautomotive.com,Automotive technology company focusing on in-vehicle networking and software solutions. Develops software for vehicle control and connectivity.,"[""software"", ""IoT""]",established,"automotive, networking, vehicle software",51-200,possibly_hiring,1999.0,
Glenworth Associates Ltd,https://www.glenworthassociates.com,Consulting or professional services company. Limited public information available.,"[""consulting""]",unknown,consulting,unknown,no_info,,
Deyton Bell,https://www.deytonbell.com,Professional services or software company. Limited public information available.,"[""consulting""]",unknown,unknown,unknown,no_info,,
Sookio,https://www.sookio.com,Digital marketing and e-commerce solutions company. Limited public information available.,"[""SaaS""]",unknown,"marketing, e-commerce, digital",unknown,no_info,,
Linaud Health,https://www.linaudhealth.com,Healthcare technology company. Limited public information available.,"[""healthtech""]",unknown,"healthcare, health, medical",unknown,no_info,,
Enterprise East,https://www.enterpriseeast.com,Business development or enterprise solutions company. Limited public information available.,"[""software""]",unknown,"enterprise, business",unknown,no_info,,
Netmatters Ltd,https://www.netmatters.com,"Full-service digital agency providing web design, development, and digital marketing services. Specializes in WordPress development and e-commerce solutions.","[""SaaS"", ""developer tools""]",scaleup,"web development, digital marketing, WordPress, e-commerce",51-200,actively_hiring,2008.0,
BioMed Realty,https://www.biomedrealty.com,Real estate and property company serving the biomedical and life sciences sectors. Provides laboratory and office space to research and biotech companies.,"[""biotech""]",established,"real estate, biomedical, life sciences",200-1000,possibly_hiring,2000.0,
TWI,https://www.twi-global.com,"Technology and research organization specializing in joining technology, materials, and inspection methods. Provides engineering solutions and materials science research for industrial applications.","[""research"", ""hardware""]",established,"materials science, welding, joining, inspection, manufacturing",200-1000,actively_hiring,1946.0,
Bruntwood SciTech,https://bruntwoodscitech.com,Science and technology property company providing laboratory and office space for research institutions and biotech companies. Limited hiring information available.,"[""biotech"", ""research""]",established,"biotech, real estate, science",200-1000,possibly_hiring,,
